bytes,avg_millis
8,17.2400
1032,23.4400
2056,27.5800
3080,22.2200
4104,14.0400
5128,13.9400
6152,13.9400
7176,14.0800
8200,14.9600
9224,13.9400
10248,14.2000
11272,14.5200
12296,14.1600
13320,14.6800
14344,14.3000
15368,14.8200
16392,14.6600
17416,14.3200
18440,14.3000
19464,13.7400
20488,14.0800
21512,13.9200
22536,13.8400
23560,13.7600
24584,13.9800
25608,13.9800
26632,14.1800
27656,13.9200
28680,14.3400
29704,14.0200
30728,13.9800
31752,14.6800
32776,14.1200
33800,14.7400
34824,13.8000
35848,14.2800
36872,14.0800
37896,14.2600
38920,14.3200
39944,14.3400
40968,14.2600
41992,14.3200
43016,15.0800
44040,14.7000
45064,14.3400
46088,15.5200
47112,14.8800
48136,14.4200
49160,15.1400
50184,14.7000
51208,14.8600
52232,14.6000
53256,14.5000
54280,14.5000
55304,14.7800
56328,14.9200
57352,15.2800
58376,15.2200
59400,15.2400
60424,15.0800
61448,15.6400
62472,15.6400
63496,16.0400
64520,16.2600
65544,16.2400
66568,16.0000
67592,16.2400
68616,16.4600
69640,16.4600
70664,16.2600
71688,17.1600
72712,16.8800
73736,16.7200
74760,16.8800
75784,16.9000
76808,16.7000
77832,17.0000
78856,16.7800
79880,16.6000
80904,16.6400
81928,16.9400
82952,17.3000
83976,16.9400
85000,17.0400
86024,17.1400
87048,16.9000
88072,16.9400
89096,16.9400
90120,16.9400
91144,16.7400
92168,17.2400
93192,17.5200
94216,17.0800
95240,17.0800
96264,17.3800
97288,16.8400
98312,17.2400
99336,17.2800
100360,17.8400
101384,17.0000
