bytes,avg_millis
8,60.0000
1032,23.0000
2056,28.0000
3080,33.0000
4104,59.0000
5128,32.0000
6152,40.0000
7176,40.0000
8200,42.0000
9224,43.0000
10248,47.0000
11272,18.0000
12296,21.0000
13320,14.0000
14344,14.0000
15368,19.0000
16392,16.0000
17416,16.0000
18440,15.0000
19464,16.0000
20488,16.0000
21512,15.0000
22536,16.0000
23560,17.0000
24584,16.0000
25608,16.0000
26632,17.0000
27656,15.0000
28680,16.0000
29704,15.0000
30728,16.0000
31752,18.0000
32776,16.0000
33800,18.0000
34824,18.0000
35848,17.0000
36872,18.0000
37896,18.0000
38920,17.0000
39944,16.0000
40968,15.0000
41992,15.0000
43016,18.0000
44040,16.0000
45064,16.0000
46088,17.0000
47112,17.0000
48136,17.0000
49160,16.0000
50184,17.0000
51208,16.0000
52232,19.0000
53256,18.0000
54280,17.0000
55304,17.0000
56328,16.0000
57352,17.0000
58376,18.0000
59400,18.0000
60424,17.0000
61448,18.0000
62472,17.0000
63496,19.0000
64520,38.0000
65544,17.0000
66568,16.0000
67592,19.0000
68616,17.0000
69640,19.0000
70664,29.0000
71688,16.0000
72712,19.0000
73736,16.0000
74760,18.0000
75784,17.0000
76808,138.0000
77832,16.0000
78856,18.0000
79880,17.0000
80904,18.0000
81928,17.0000
82952,19.0000
83976,20.0000
85000,20.0000
86024,18.0000
87048,152.0000
88072,18.0000
89096,21.0000
90120,18.0000
91144,17.0000
92168,17.0000
93192,17.0000
94216,17.0000
95240,18.0000
96264,18.0000
97288,17.0000
98312,18.0000
99336,17.0000
100360,17.0000
101384,17.0000
