bytes,avg_millis
8,19.6000
1032,24.3000
2056,29.0000
3080,25.7000
4104,14.5000
5128,14.6000
6152,14.6000
7176,14.6000
8200,14.9000
9224,14.5000
10248,16.4000
11272,15.2000
12296,15.1000
13320,15.6000
14344,15.2000
15368,15.3000
16392,14.9000
17416,15.1000
18440,14.7000
19464,15.0000
20488,15.6000
21512,16.0000
22536,14.8000
23560,15.2000
24584,14.9000
25608,14.8000
26632,15.2000
27656,14.6000
28680,14.9000
29704,14.8000
30728,15.4000
31752,14.3000
32776,15.1000
33800,15.1000
34824,15.7000
35848,14.6000
36872,15.2000
37896,15.4000
38920,15.1000
39944,15.3000
40968,15.1000
41992,15.2000
43016,15.0000
44040,15.1000
45064,15.6000
46088,15.7000
47112,15.6000
48136,15.2000
49160,15.8000
50184,16.1000
51208,15.9000
52232,15.4000
53256,15.9000
54280,17.6000
55304,16.8000
56328,16.4000
57352,15.3000
58376,16.0000
59400,15.9000
60424,16.7000
61448,15.9000
62472,16.8000
63496,17.1000
64520,17.4000
65544,16.0000
66568,16.6000
67592,16.2000
68616,17.0000
69640,17.0000
70664,17.7000
71688,17.7000
72712,16.9000
73736,19.6000
74760,16.5000
75784,17.6000
76808,17.2000
77832,16.7000
78856,16.8000
79880,17.6000
80904,17.2000
81928,17.0000
82952,17.4000
83976,18.9000
85000,17.9000
86024,16.6000
87048,17.1000
88072,19.1000
89096,18.0000
90120,16.6000
91144,19.1000
92168,18.2000
93192,17.4000
94216,17.5000
95240,18.7000
96264,17.9000
97288,18.8000
98312,18.3000
99336,17.2000
100360,17.3000
101384,17.8000
